run_id,stage_id,planned_cost,measured_cost,adjusted_measured_cost,retry_rate,qa_eval_multiplier,variance_pct,review_flag
TM_001-A001-00001,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A002-00002,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A003-00003,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A004-00004,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A005-00005,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A006-00006,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A007-00007,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A008-00008,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A009-00009,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A010-00010,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A011-00011,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A012-00012,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A013-00013,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A014-00014,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A015-00015,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A016-00016,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A017-00017,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_001-A018-00018,TM_001,6e-05,4e-06,5e-06,0.02,1.02,-92.67,High variance: estimate too conservative
TM_002-A001-00019,TM_002,0.005,0.001788,0.002159,0.05,1.15,-64.24,High variance: estimate too conservative
TM_002-A002-00020,TM_002,0.005,0.00177,0.002137,0.05,1.15,-64.6,High variance: estimate too conservative
TM_002-A003-00021,TM_002,0.005,0.001641,0.001982,0.05,1.15,-67.18,High variance: estimate too conservative
TM_002-A004-00022,TM_002,0.005,0.00165,0.001992,0.05,1.15,-67.0,High variance: estimate too conservative
TM_002-A005-00023,TM_002,0.005,0.001874,0.002263,0.05,1.15,-62.52,High variance: estimate too conservative
TM_002-A006-00024,TM_002,0.005,0.001687,0.002037,0.05,1.15,-66.26,High variance: estimate too conservative
TM_002-A007-00025,TM_002,0.005,0.001521,0.001837,0.05,1.15,-69.58,High variance: estimate too conservative
TM_002-A008-00026,TM_002,0.005,0.001855,0.00224,0.05,1.15,-62.9,High variance: estimate too conservative
TM_002-A009-00027,TM_002,0.005,0.001458,0.001761,0.05,1.15,-70.84,High variance: estimate too conservative
TM_002-A010-00028,TM_002,0.005,0.001785,0.002155,0.05,1.15,-64.3,High variance: estimate too conservative
TM_002-A011-00029,TM_002,0.005,0.001456,0.001758,0.05,1.15,-70.88,High variance: estimate too conservative
TM_002-A012-00030,TM_002,0.005,0.001673,0.00202,0.05,1.15,-66.54,High variance: estimate too conservative
TM_002-A013-00031,TM_002,0.005,0.001459,0.001762,0.05,1.15,-70.82,High variance: estimate too conservative
TM_002-A014-00032,TM_002,0.005,0.001845,0.002228,0.05,1.15,-63.1,High variance: estimate too conservative
TM_002-A015-00033,TM_002,0.005,0.001742,0.002103,0.05,1.15,-65.16,High variance: estimate too conservative
TM_002-A016-00034,TM_002,0.005,0.001492,0.001802,0.05,1.15,-70.16,High variance: estimate too conservative
TM_002-A017-00035,TM_002,0.005,0.001746,0.002108,0.05,1.15,-65.08,High variance: estimate too conservative
TM_002-A018-00036,TM_002,0.005,0.001674,0.002021,0.05,1.15,-66.52,High variance: estimate too conservative
TM_003-A008-00037,TM_003,0.01125,0.002285,0.003028,0.06,1.25,-79.69,High variance: estimate too conservative
TM_003-A014-00038,TM_003,0.01125,0.002255,0.002988,0.06,1.25,-79.96,High variance: estimate too conservative
TM_003-A017-00039,TM_003,0.01125,0.002285,0.003028,0.06,1.25,-79.69,High variance: estimate too conservative
TM_003-A005-00040,TM_003,0.01125,0.0023,0.003047,0.06,1.25,-79.56,High variance: estimate too conservative
TM_003-A002-00041,TM_003,0.01125,0.002285,0.003028,0.06,1.25,-79.69,High variance: estimate too conservative
TM_003-A004-00042,TM_003,0.01125,0.00224,0.002968,0.06,1.25,-80.09,High variance: estimate too conservative
TM_003-A012-00043,TM_003,0.01125,0.002255,0.002988,0.06,1.25,-79.96,High variance: estimate too conservative
TM_003-A010-00044,TM_003,0.01125,0.00224,0.002968,0.06,1.25,-80.09,High variance: estimate too conservative
TM_003-A001-00045,TM_003,0.01125,0.002255,0.002988,0.06,1.25,-79.96,High variance: estimate too conservative
TM_003-A015-00046,TM_003,0.01125,0.002255,0.002988,0.06,1.25,-79.96,High variance: estimate too conservative
TM_003-A018-00047,TM_003,0.01125,0.002195,0.002908,0.06,1.25,-80.49,High variance: estimate too conservative
TM_003-A003-00048,TM_003,0.01125,0.002195,0.002908,0.06,1.25,-80.49,High variance: estimate too conservative
TM_003-A006-00049,TM_003,0.01125,0.00224,0.002968,0.06,1.25,-80.09,High variance: estimate too conservative
TM_003-A016-00050,TM_003,0.01125,0.00224,0.002968,0.06,1.25,-80.09,High variance: estimate too conservative
TM_003-A011-00051,TM_003,0.01125,0.002195,0.002908,0.06,1.25,-80.49,High variance: estimate too conservative
TM_003-A009-00052,TM_003,0.01125,0.00224,0.002968,0.06,1.25,-80.09,High variance: estimate too conservative
TM_003-A007-00053,TM_003,0.01125,0.002195,0.002908,0.06,1.25,-80.49,High variance: estimate too conservative
TM_003-A013-00054,TM_003,0.01125,0.002195,0.002908,0.06,1.25,-80.49,High variance: estimate too conservative
TM_004-A008-00055,TM_004,0.0285,0.005233,0.007912,0.12,1.35,-81.64,High variance: estimate too conservative
TM_004-A014-00056,TM_004,0.0285,0.005208,0.007874,0.12,1.35,-81.73,High variance: estimate too conservative
TM_004-A017-00057,TM_004,0.0285,0.004913,0.007428,0.12,1.35,-82.76,High variance: estimate too conservative
TM_004-A004-00058,TM_004,0.0285,0.004635,0.007008,0.12,1.35,-83.74,High variance: estimate too conservative
TM_004-A002-00059,TM_004,0.0285,0.004988,0.007541,0.12,1.35,-82.5,High variance: estimate too conservative
TM_004-A005-00060,TM_004,0.0285,0.005295,0.008006,0.12,1.35,-81.42,High variance: estimate too conservative
TM_004-A010-00061,TM_004,0.0285,0.00503,0.007605,0.12,1.35,-82.35,High variance: estimate too conservative
TM_004-A012-00062,TM_004,0.0285,0.004698,0.007103,0.12,1.35,-83.52,High variance: estimate too conservative
TM_004-A001-00063,TM_004,0.0285,0.005045,0.007628,0.12,1.35,-82.3,High variance: estimate too conservative
TM_004-A018-00064,TM_004,0.0285,0.004715,0.007129,0.12,1.35,-83.46,High variance: estimate too conservative
TM_004-A003-00065,TM_004,0.0285,0.004612,0.006974,0.12,1.35,-83.82,High variance: estimate too conservative
TM_004-A006-00066,TM_004,0.0285,0.004752,0.007186,0.12,1.35,-83.32,High variance: estimate too conservative
TM_004-A015-00067,TM_004,0.0285,0.004913,0.007428,0.12,1.35,-82.76,High variance: estimate too conservative
TM_004-A016-00068,TM_004,0.0285,0.004175,0.006313,0.12,1.35,-85.35,High variance: estimate too conservative
TM_004-A009-00069,TM_004,0.0285,0.004075,0.006161,0.12,1.35,-85.7,High variance: estimate too conservative
TM_004-A011-00070,TM_004,0.0285,0.004067,0.00615,0.12,1.35,-85.73,High variance: estimate too conservative
TM_004-A013-00071,TM_004,0.0285,0.00408,0.006169,0.12,1.35,-85.68,High variance: estimate too conservative
TM_005-A008-00072,TM_005,0.063,0.005556,0.009184,0.14,1.45,-91.18,High variance: estimate too conservative
TM_005-A014-00073,TM_005,0.063,0.005526,0.009134,0.14,1.45,-91.23,High variance: estimate too conservative
TM_005-A017-00074,TM_005,0.063,0.005232,0.008648,0.14,1.45,-91.7,High variance: estimate too conservative
TM_005-A005-00075,TM_005,0.063,0.005613,0.009278,0.14,1.45,-91.09,High variance: estimate too conservative
