timestamp,task,reference_id,model,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd
2026-07-06T17:47:21+00:00,account_briefing,A001,simulated-cs-assistant-v1,309,145,454,0.003102
2026-07-06T17:47:21+00:00,account_briefing,A002,simulated-cs-assistant-v1,308,157,465,0.003279
2026-07-06T17:47:21+00:00,account_briefing,A003,simulated-cs-assistant-v1,298,149,447,0.003129
2026-07-06T17:47:21+00:00,account_briefing,A004,simulated-cs-assistant-v1,273,83,356,0.002064
2026-07-06T17:47:21+00:00,account_briefing,A005,simulated-cs-assistant-v1,318,213,531,0.004149
2026-07-06T17:47:21+00:00,account_briefing,A006,simulated-cs-assistant-v1,297,152,449,0.003171
2026-07-06T17:47:21+00:00,account_briefing,A007,simulated-cs-assistant-v1,245,96,341,0.002175
2026-07-06T17:47:21+00:00,account_briefing,A008,simulated-cs-assistant-v1,324,216,540,0.004212
2026-07-06T17:47:21+00:00,account_briefing,A009,simulated-cs-assistant-v1,245,75,320,0.00186
2026-07-06T17:47:21+00:00,account_briefing,A010,simulated-cs-assistant-v1,317,175,492,0.003576
2026-07-06T17:47:21+00:00,account_briefing,A011,simulated-cs-assistant-v1,244,96,340,0.002172
2026-07-06T17:47:21+00:00,account_briefing,A012,simulated-cs-assistant-v1,300,147,447,0.003105
2026-07-06T17:47:21+00:00,account_briefing,A013,simulated-cs-assistant-v1,243,96,339,0.002169
2026-07-06T17:47:21+00:00,account_briefing,A014,simulated-cs-assistant-v1,314,179,493,0.003627
2026-07-06T17:47:21+00:00,account_briefing,A015,simulated-cs-assistant-v1,304,153,457,0.003207
2026-07-06T17:47:21+00:00,account_briefing,A016,simulated-cs-assistant-v1,248,96,344,0.002184
2026-07-06T17:47:21+00:00,account_briefing,A017,simulated-cs-assistant-v1,320,191,511,0.003825
2026-07-06T17:47:21+00:00,account_briefing,A018,simulated-cs-assistant-v1,277,151,428,0.003096
2026-07-06T17:47:21+00:00,quality_review,O001,simulated-cs-assistant-v1,305,83,388,0.00216
2026-07-06T17:47:21+00:00,quality_review,O002,simulated-cs-assistant-v1,280,54,334,0.00165
2026-07-06T17:47:21+00:00,quality_review,O003,simulated-cs-assistant-v1,274,40,314,0.001422
2026-07-06T17:47:21+00:00,quality_review,O004,simulated-cs-assistant-v1,288,68,356,0.001884
2026-07-06T17:47:21+00:00,quality_review,O005,simulated-cs-assistant-v1,252,31,283,0.001221
2026-07-06T17:47:21+00:00,quality_review,O006,simulated-cs-assistant-v1,284,48,332,0.001572
2026-07-06T17:47:21+00:00,quality_review,O007,simulated-cs-assistant-v1,245,42,287,0.001365
2026-07-06T17:47:21+00:00,quality_review,O008,simulated-cs-assistant-v1,276,44,320,0.001488
