run_id,stage_id,output_id,account_id,passed,quality_score,route,failed_standards,confidence
TM_023-O001-00278,TM_023,O001,A008,False,35.0,human_approval_required,QS001;QS002;QS003;QS005,0.65
TM_023-O002-00279,TM_023,O002,A005,False,35.0,human_approval_required,QS001;QS002;QS004,0.65
TM_023-O003-00280,TM_023,O003,A014,True,92.0,approve,,0.9
TM_023-O004-00281,TM_023,O004,A017,False,35.0,human_approval_required,QS001;QS002;QS006,0.65
TM_023-O005-00282,TM_023,O005,A003,True,92.0,approve,,0.9
TM_023-O006-00283,TM_023,O006,A010,True,92.0,approve,,0.9
TM_023-O007-00284,TM_023,O007,A012,False,35.0,human_approval_required,QS001;QS002,0.65
TM_023-O008-00285,TM_023,O008,A015,True,92.0,approve,,0.9
TM_024-O001-00286,TM_024,O001,A008,False,35.0,human_approval_required,QS001;QS002;QS003;QS005,0.65
TM_024-O002-00287,TM_024,O002,A005,False,35.0,human_approval_required,QS001;QS002;QS004,0.65
TM_024-O004-00288,TM_024,O004,A017,False,35.0,human_approval_required,QS001;QS002;QS006,0.65
TM_024-O007-00289,TM_024,O007,A012,False,35.0,human_approval_required,QS001;QS002,0.65
TM_031-A001-00334,TM_031,A001,A001,True,88.0,approve,,0.9
TM_031-A002-00335,TM_031,A002,A002,True,88.0,approve,,0.9
TM_031-A004-00336,TM_031,A004,A004,True,88.0,approve,,0.9
TM_031-A005-00337,TM_031,A005,A005,True,88.0,approve,,0.9
TM_031-A008-00338,TM_031,A008,A008,True,88.0,approve,,0.9
TM_031-A010-00339,TM_031,A010,A010,True,88.0,approve,,0.9
TM_031-A012-00340,TM_031,A012,A012,True,88.0,approve,,0.9
TM_031-A014-00341,TM_031,A014,A014,True,88.0,approve,,0.9
TM_031-A017-00342,TM_031,A017,A017,True,88.0,approve,,0.9
