run_id,stage_id,workflow_component,operating_area,item_id,model,planned_input_tokens,planned_output_tokens,measured_input_tokens,measured_output_tokens
TM_001-A001-00001,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A001,text-embedding-3-small,3000,0,220,154
TM_001-A002-00002,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A002,text-embedding-3-small,3000,0,220,154
TM_001-A003-00003,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A003,text-embedding-3-small,3000,0,220,154
TM_001-A004-00004,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A004,text-embedding-3-small,3000,0,220,154
TM_001-A005-00005,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A005,text-embedding-3-small,3000,0,220,154
TM_001-A006-00006,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A006,text-embedding-3-small,3000,0,220,154
TM_001-A007-00007,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A007,text-embedding-3-small,3000,0,220,154
TM_001-A008-00008,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A008,text-embedding-3-small,3000,0,220,154
TM_001-A009-00009,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A009,text-embedding-3-small,3000,0,220,154
TM_001-A010-00010,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A010,text-embedding-3-small,3000,0,220,154
TM_001-A011-00011,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A011,text-embedding-3-small,3000,0,220,154
TM_001-A012-00012,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A012,text-embedding-3-small,3000,0,220,154
TM_001-A013-00013,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A013,text-embedding-3-small,3000,0,220,154
TM_001-A014-00014,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A014,text-embedding-3-small,3000,0,220,154
TM_001-A015-00015,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A015,text-embedding-3-small,3000,0,220,154
TM_001-A016-00016,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A016,text-embedding-3-small,3000,0,220,154
TM_001-A017-00017,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A017,text-embedding-3-small,3000,0,220,154
TM_001-A018-00018,TM_001,Account review,"Signal monitoring, context assembly & portfolio pattern detection",A018,text-embedding-3-small,3000,0,220,154
TM_002-A001-00019,TM_002,Account review,"Intake, classification & triage",A001,Claude Haiku 4.5,3500,300,668,224
TM_002-A002-00020,TM_002,Account review,"Intake, classification & triage",A002,Claude Haiku 4.5,3500,300,680,218
TM_002-A003-00021,TM_002,Account review,"Intake, classification & triage",A003,Claude Haiku 4.5,3500,300,656,197
TM_002-A004-00022,TM_002,Account review,"Intake, classification & triage",A004,Claude Haiku 4.5,3500,300,665,197
TM_002-A005-00023,TM_002,Account review,"Intake, classification & triage",A005,Claude Haiku 4.5,3500,300,689,237
TM_002-A006-00024,TM_002,Account review,"Intake, classification & triage",A006,Claude Haiku 4.5,3500,300,647,208
TM_002-A007-00025,TM_002,Account review,"Intake, classification & triage",A007,Claude Haiku 4.5,3500,300,631,178
TM_002-A008-00026,TM_002,Account review,"Intake, classification & triage",A008,Claude Haiku 4.5,3500,300,700,231
TM_002-A009-00027,TM_002,Account review,"Intake, classification & triage",A009,Claude Haiku 4.5,3500,300,628,166
TM_002-A010-00028,TM_002,Account review,"Intake, classification & triage",A010,Claude Haiku 4.5,3500,300,685,220
TM_002-A011-00029,TM_002,Account review,"Intake, classification & triage",A011,Claude Haiku 4.5,3500,300,631,165
TM_002-A012-00030,TM_002,Account review,"Intake, classification & triage",A012,Claude Haiku 4.5,3500,300,678,199
TM_002-A013-00031,TM_002,Account review,"Intake, classification & triage",A013,Claude Haiku 4.5,3500,300,629,166
TM_002-A014-00032,TM_002,Account review,"Intake, classification & triage",A014,Claude Haiku 4.5,3500,300,685,232
TM_002-A015-00033,TM_002,Account review,"Intake, classification & triage",A015,Claude Haiku 4.5,3500,300,662,216
TM_002-A016-00034,TM_002,Account review,"Intake, classification & triage",A016,Claude Haiku 4.5,3500,300,637,171
TM_002-A017-00035,TM_002,Account review,"Intake, classification & triage",A017,Claude Haiku 4.5,3500,300,686,212
TM_002-A018-00036,TM_002,Account review,"Intake, classification & triage",A018,Claude Haiku 4.5,3500,300,649,205
TM_003-A008-00037,TM_003,Account review,Prioritization & queue ranking,A008,GPT-5.4,3000,250,428,81
TM_003-A014-00038,TM_003,Account review,Prioritization & queue ranking,A014,GPT-5.4,3000,250,428,79
TM_003-A017-00039,TM_003,Account review,Prioritization & queue ranking,A017,GPT-5.4,3000,250,428,81
TM_003-A005-00040,TM_003,Account review,Prioritization & queue ranking,A005,GPT-5.4,3000,250,428,82
TM_003-A002-00041,TM_003,Account review,Prioritization & queue ranking,A002,GPT-5.4,3000,250,428,81
TM_003-A004-00042,TM_003,Account review,Prioritization & queue ranking,A004,GPT-5.4,3000,250,428,78
TM_003-A012-00043,TM_003,Account review,Prioritization & queue ranking,A012,GPT-5.4,3000,250,428,79
TM_003-A010-00044,TM_003,Account review,Prioritization & queue ranking,A010,GPT-5.4,3000,250,428,78
TM_003-A001-00045,TM_003,Account review,Prioritization & queue ranking,A001,GPT-5.4,3000,250,428,79
TM_003-A015-00046,TM_003,Account review,Prioritization & queue ranking,A015,GPT-5.4,3000,250,428,79
TM_003-A018-00047,TM_003,Account review,Prioritization & queue ranking,A018,GPT-5.4,3000,250,428,75
TM_003-A003-00048,TM_003,Account review,Prioritization & queue ranking,A003,GPT-5.4,3000,250,428,75
TM_003-A006-00049,TM_003,Account review,Prioritization & queue ranking,A006,GPT-5.4,3000,250,428,78
TM_003-A016-00050,TM_003,Account review,Prioritization & queue ranking,A016,GPT-5.4,3000,250,428,78
TM_003-A011-00051,TM_003,Account review,Prioritization & queue ranking,A011,GPT-5.4,3000,250,428,75
TM_003-A009-00052,TM_003,Account review,Prioritization & queue ranking,A009,GPT-5.4,3000,250,428,78
TM_003-A007-00053,TM_003,Account review,Prioritization & queue ranking,A007,GPT-5.4,3000,250,428,75
TM_003-A013-00054,TM_003,Account review,Prioritization & queue ranking,A013,GPT-5.4,3000,250,428,75
TM_004-A008-00055,TM_004,Account review,Synthesis & recommendation,A008,GPT-5.4,6000,900,707,231
TM_004-A014-00056,TM_004,Account review,Synthesis & recommendation,A014,GPT-5.4,6000,900,691,232
TM_004-A017-00057,TM_004,Account review,Synthesis & recommendation,A017,GPT-5.4,6000,900,693,212
TM_004-A004-00058,TM_004,Account review,Synthesis & recommendation,A004,GPT-5.4,6000,900,672,197
TM_004-A002-00059,TM_004,Account review,Synthesis & recommendation,A002,GPT-5.4,6000,900,687,218
TM_004-A005-00060,TM_004,Account review,Synthesis & recommendation,A005,GPT-5.4,6000,900,696,237
TM_004-A010-00061,TM_004,Account review,Synthesis & recommendation,A010,GPT-5.4,6000,900,692,220
TM_004-A012-00062,TM_004,Account review,Synthesis & recommendation,A012,GPT-5.4,6000,900,685,199
TM_004-A001-00063,TM_004,Account review,Synthesis & recommendation,A001,GPT-5.4,6000,900,674,224
TM_004-A018-00064,TM_004,Account review,Synthesis & recommendation,A018,GPT-5.4,6000,900,656,205
TM_004-A003-00065,TM_004,Account review,Synthesis & recommendation,A003,GPT-5.4,6000,900,663,197
TM_004-A006-00066,TM_004,Account review,Synthesis & recommendation,A006,GPT-5.4,6000,900,653,208
TM_004-A015-00067,TM_004,Account review,Synthesis & recommendation,A015,GPT-5.4,6000,900,669,216
TM_004-A016-00068,TM_004,Account review,Synthesis & recommendation,A016,GPT-5.4,6000,900,644,171
TM_004-A009-00069,TM_004,Account review,Synthesis & recommendation,A009,GPT-5.4,6000,900,634,166
TM_004-A011-00070,TM_004,Account review,Synthesis & recommendation,A011,GPT-5.4,6000,900,637,165
TM_004-A013-00071,TM_004,Account review,Synthesis & recommendation,A013,GPT-5.4,6000,900,636,166
TM_005-A008-00072,TM_005,Account review,Synthesis & recommendation,A008,Claude Sonnet 4.6,12000,1800,697,231
TM_005-A014-00073,TM_005,Account review,Synthesis & recommendation,A014,Claude Sonnet 4.6,12000,1800,682,232
TM_005-A017-00074,TM_005,Account review,Synthesis & recommendation,A017,Claude Sonnet 4.6,12000,1800,684,212
TM_005-A005-00075,TM_005,Account review,Synthesis & recommendation,A005,Claude Sonnet 4.6,12000,1800,686,237
TM_005-A002-00076,TM_005,Account review,Synthesis & recommendation,A002,Claude Sonnet 4.6,12000,1800,678,218
TM_005-A004-00077,TM_005,Account review,Synthesis & recommendation,A004,Claude Sonnet 4.6,12000,1800,663,197
TM_005-A012-00078,TM_005,Account review,Synthesis & recommendation,A012,Claude Sonnet 4.6,12000,1800,675,199
TM_005-A010-00079,TM_005,Account review,Synthesis & recommendation,A010,Claude Sonnet 4.6,12000,1800,682,220
TM_005-A001-00080,TM_005,Account review,Synthesis & recommendation,A001,Claude Sonnet 4.6,12000,1800,665,224
TM_005-A015-00081,TM_005,Account review,Synthesis & recommendation,A015,Claude Sonnet 4.6,12000,1800,660,216
TM_005-A018-00082,TM_005,Account review,Synthesis & recommendation,A018,Claude Sonnet 4.6,12000,1800,646,205
TM_005-A003-00083,TM_005,Account review,Synthesis & recommendation,A003,Claude Sonnet 4.6,12000,1800,653,197
TM_005-A006-00084,TM_005,Account review,Synthesis & recommendation,A006,Claude Sonnet 4.6,12000,1800,644,208
TM_005-A016-00085,TM_005,Account review,Synthesis & recommendation,A016,Claude Sonnet 4.6,12000,1800,635,171
TM_005-A011-00086,TM_005,Account review,Synthesis & recommendation,A011,Claude Sonnet 4.6,12000,1800,628,165
TM_005-A009-00087,TM_005,Account review,Synthesis & recommendation,A009,Claude Sonnet 4.6,12000,1800,625,166
TM_005-A007-00088,TM_005,Account review,Synthesis & recommendation,A007,Claude Sonnet 4.6,12000,1800,629,178
TM_005-A013-00089,TM_005,Account review,Synthesis & recommendation,A013,Claude Sonnet 4.6,12000,1800,627,166
TM_006-A002-00090,TM_006,Account review,"Routing, handoff & escalation",A002,Claude Haiku 4.5,4000,400,488,65
TM_006-A004-00091,TM_006,Account review,"Routing, handoff & escalation",A004,Claude Haiku 4.5,4000,400,484,55
TM_006-A005-00092,TM_006,Account review,"Routing, handoff & escalation",A005,Claude Haiku 4.5,4000,400,499,74
TM_006-A008-00093,TM_006,Account review,"Routing, handoff & escalation",A008,Claude Haiku 4.5,4000,400,508,83
TM_006-A014-00094,TM_006,Account review,"Routing, handoff & escalation",A014,Claude Haiku 4.5,4000,400,495,66
TM_006-A017-00095,TM_006,Account review,"Routing, handoff & escalation",A017,Claude Haiku 4.5,4000,400,497,74
